Word Context_Valence Context_Arousal Context_Concreteness
moocow 5.835 4.047 3.01
mood 5.573 4.164 2.82
moodier 5.745 4.127 3.059
moodiest 5.742 3.963 2.929
moodily 5.775 3.958 3.261
moodiness 5.156 4.2 2.731
moods 5.678 4.088 2.833
moody 5.395 4.375 3.584
mooed 5.274 4.09 3.185
mooing 5.661 3.915 3.18
moon 5.756 4.051 3.21
moonbeam 5.454 4.09 3.123
moonbeams 5.924 4 3.296
mooncalf 5.535 4.011 2.888
mooned 5.724 4.098 3.282
mooning 5.79 4.316 3.266
moonless 5.884 3.872 3.494
moonlight 5.975 3.979 3.303
moonlighted 5.637 4.166 3.412
moonlighter 5.72 3.811 3.183
moonlighters 5.675 4.092 3.136
moonlighting 5.676 4.078 3.208
moonlights 5.559 4.122 3.429
moonlike 5.856 3.8 3.278
moonlit 5.966 3.92 3.511
moonrise 5.945 3.859 3.254
moons 5.618 4.049 3.013
moonscape 5.584 3.998 3.194
moonscapes 5.311 4.025 3.041
moonshine 5.69 4.212 3.604
moonshiner 5.579 4.172 3.285
moonshiners 5.444 4.173 3.162
moonstone 5.969 4.154 3.479
moonstones 5.862 3.851 3.525
moonstruck 5.761 4.226 3.19
moonwalk 5.845 4.081 3.257
moonwalker 6.147 4.336 3.392
moonward 6.262 4.458 3.246
moony 5.866 4.041 3.204
moor 5.573 4.016 3.106
moorage 5.672 3.962 3.251
moorcock 5.871 3.975 3.015
moore 5.612 4.144 3.089
moored 5.687 3.931 3.421
moorhen 5.463 3.768 3.493
moorhens 6.231 3.786 3.265
mooring 5.629 3.87 3.272
moorings 5.524 4.019 3.02
moorish 5.631 4.129 3.076
moorland 5.696 3.815 3.282
moorlands 5.699 3.954 3.331
moors 5.489 4.089 2.962
moos 5.58 4.05 3.07
moose 5.675 4.134 3.401
moot 5.541 4.013 2.774
mooted 5.58 4.063 2.84
mooting 5.596 4.071 2.828
moots 5.448 4.064 3.018
mop 5.465 3.955 3.329
mope 5.409 4.118 2.98
moped 5.587 4.136 3.362
mopeds 5.668 4.12 3.266
mopes 5.493 4.169 3.031
moping 5.566 4.06 3.044
mopped 5.464 3.973 3.326
moppet 5.68 4.193 3.463
moppets 5.783 4.321 3.355
mopping 5.457 3.967 3.256
mops 5.518 3.861 3.245
moquette 5.408 3.831 3.176
moraine 5.697 3.832 3.521
moraines 5.798 3.785 3.195
moral 5.494 4.145 2.68
morale 5.407 4.23 2.888
moralist 5.487 4.165 2.786
moralistic 5.437 4.15 2.7
moralistically 5.505 4.119 2.731
moralists 5.41 4.211 2.682
moralities 5.624 4.109 2.58
morality 5.584 4.1 2.61
moralization 5.544 4.205 2.643
moralize 5.482 4.148 2.728
moralizer 5.503 4.246 2.774
moralizes 5.486 4.104 2.684
moralizing 5.443 4.156 2.747
morally 5.278 4.255 2.61
morals 5.555 4.108 2.673
morass 5.402 4.12 2.777
moratorium 5.721 4.073 2.685
moray 5.583 4.101 3.382
morbid 5.18 4.357 2.777
morbidity 5.16 4.303 2.778
morbidly 4.989 4.118 3.021
mordant 5.642 4.113 3.013
morel 5.508 4.066 3.198
morels 5.851 3.868 3.18
moreover 5.506 4.077 2.839
mores 5.61 4.145 2.72
morgan 5.683 4.132 3.309
morgue 5.343 4.077 3.281
morgues 5.257 4.003 2.88
moribund 5.527 4.116 2.908
moribundity 5.51 4.297 2.521
mormon 5.716 3.926 3.082
mormonism 5.555 4.038 2.836
mormons 5.625 4.081 2.813
morn 5.822 4.049 3.185
morning 5.667 4.022 3.179
mornings 5.588 4.027 3.034
morns 5.904 4.018 3.111
moroccan 5.504 4.155 3.199
morocco 5.636 4.12 3.205
moron 5.411 4.166 2.871
moronic 5.267 4.159 2.852
morons 5.474 4.173 2.827
morose 5.547 4.198 2.839
morosely 5.514 3.959 3.136
moroseness 5.199 4.16 2.755
morph 5.63 4.044 2.927
morphed 5.511 4.152 2.961
morpheme 5.643 3.805 2.7
morphemes 5.741 3.79 2.706
morphemic 5.775 3.791 2.672
morpheus 6.087 4.199 3.089
morphia 5.4 4.145 3.206
morphine 5.252 4.154 3.087
morphing 5.584 4.092 2.94
morphogenetic 5.683 3.959 3.047
morphological 5.569 3.919 2.759
morphology 5.607 3.913 2.87
morphs 5.538 4.102 3.014
morris 5.524 4.052 3.109
morrow 5.732 4.05 3.1
morse 5.581 3.903 3.099
morsel 5.777 4.094 3.111
morsels 5.756 3.985 3.406
mortal 5.384 4.314 2.858
mortalities 5.374 4.072 3.091
mortality 5.419 4.11 2.961
mortally 5.338 4.182 2.996
mortals 5.508 4.065 2.656
mortar 5.041 4.381 3.398
mortarboard 5.751 4.057 3.396
mortared 5.451 3.975 3.368
mortaring 5.412 4.116 3.232
mortars 5.1 4.432 3.324
mortem 5.276 4.069 3.261
mortgage 5.354 4.087 3.096
mortgaged 5.703 4.168 3.01
mortgagee 5.761 4.027 2.891
mortgages 5.71 3.899 3.152
mortgaging 5.715 4.278 2.98
mortician 5.519 4.006 3.192
morticians 5.352 4.089 3.131
mortification 5.665 3.983 3.146
mortified 5.181 4.357 2.888
mortifies 5.577 4.33 2.769
mortify 5.673 4.252 2.877
mortifying 5.533 4.157 2.901
mortifyingly 5.334 4.23 2.756
mortise 5.469 3.824 3.36
mortised 5.418 3.77 3.409
mortising 5.455 3.861 3.379
mortmain 5.565 4.053 3.009
morton 5.577 4.072 3.257
mortuaries 5.139 4.07 3.192
mortuary 5.411 4.066 3.349
mosaic 5.5 3.891 3.114
mosaics 5.607 4.005 3.001
moscow 5.527 4.125 3.109
moselle 5.785 3.943 3.316
moses 5.68 4.037 2.937
mosey 5.894 4.056 3.147
moseying 5.855 3.925 3.021
moseys 5.858 4.013 3.353
moslem 5.397 4.356 3.071
moslems 5.42 4.247 2.815
mosque 5.255 3.897 3.18
mosques 5.296 4.186 3.018
mosquito 5.284 4.176 3.277
mosquitoes 5.309 4.194 3.111
moss 5.67 4.01 3.093
mossback 5.872 3.877 2.861
mosses 5.885 3.807 3.218
mossy 5.746 3.872 3.67
mostly 5.601 4.032 2.984
mot 5.594 4.012 3.003
mote 5.699 3.941 3.252
motel 5.757 4.025 3.487
motels 5.959 4.052 3.348
motes 5.609 3.986 3.166
motet 5.897 3.966 3.002
motets 5.941 3.951 2.884
moth 5.66 4.177 3.325
mothball 5.473 4.002 3.119
mothballed 5.504 4.054 3.117
mothballing 5.485 4.018 3.081
mothballs 5.498 4.012 3.113
mother 5.689 4.267 3.171
motherboard 5.587 3.935 3.079
motherboards 5.631 3.908 2.98
mothered 5.902 4.161 3.205
motherfucker 4.363 4.825 3.591
motherfuckers 5.151 4.346 2.947
motherfucking 5.094 4.541 3.146
motherhood 5.91 4.305 2.949
motherhouse 5.709 3.684 3.201
mothering 5.777 4.182 2.975
motherland 5.691 4.216 2.901
motherless 5.745 4.21 3.047
motherliness 6.154 4.181 2.79
motherly 6.028 4.184 2.982
mothers 5.441 4.261 3.06
mothproof 5.479 4.143 3.685
moths 5.569 3.837 3.365
motif 5.682 4.022 3.012
motifs 5.669 3.995 2.918
motile 5.467 4.033 3.151
motility 5.512 3.883 2.821
motion 5.6 4.01 3.083
motional 5.628 4.066 3.081
motioned 5.651 3.905 3.437
motioning 5.748 3.908 3.469
motionless 5.566 3.962 3.319
motionlessly 5.607 3.831 3.529
motionlessness 5.635 4 2.778
motions 5.534 3.975 3.007
motivate 5.843 4.149 2.809
motivated 5.712 4.237 2.804
motivates 5.701 4.281 2.871
motivating 5.65 4.139 2.826
motivation 5.615 4.163 2.753
motivational 5.76 4.292 3.135
motivations 5.583 4.102 2.685
motivator 5.691 4.267 2.778
motivators 5.735 4.178 2.715
motive 5.356 4.274 2.719
motiveless 5.109 4.391 2.749
motives 5.491 4.136 2.68
motley 5.557 4.121 3.203
motocross 5.864 4.269 3.507
motor 5.584 4.119 3.466
motorbike 5.566 4.198 3.378
motorbikes 5.58 4.166 3.265
motorboat 5.588 4.121 3.371
motorboats 5.632 4.131 3.251
motorbus 5.708 4.208 3.059
motorcade 5.501 4.112 3.297
motorcades 5.581 4.061 3.095
motorcar 5.603 4.06 3.206
motorcars 5.776 4.152 3.197
motorcycle 5.536 4.236 3.722
motorcycles 5.633 4.28 3.411
motorcycling 5.791 4.116 2.981
motorcyclist 5.352 4.226 3.223
motorcyclists 5.492 4.164 3.033
motored 5.701 3.941 3.309
motorhome 5.782 3.991 3.419
motoring 5.618 4.07 3.011
motorist 5.302 4.145 3.073
motorists 5.408 4.119 3.008
motorization 5.475 4.031 2.961
motorize 5.67 4.087 3.277
motorized 5.54 4.002 3.522
motorman 5.573 3.968 3.373
motors 5.608 4.046 3.111
motorsport 5.773 4.153 3.145
motorway 5.523 4.046 3.081
motorways 5.545 4.045 2.919
mottle 5.625 3.747 3.668
mottled 5.411 4.1 3.647
motto 5.644 4.204 2.927
mottoes 5.78 3.947 2.915
mould 5.556 3.979 3.115
moulded 5.583 4.075 2.76
moulder 5.53 4.029 3.154
mouldered 5.204 4.118 3.405
mouldering 5.176 3.988 3.377
moulders 5.421 3.998 3.172
moulding 5.517 3.998 3.236
mouldings 5.569 3.891 3.667
moulds 5.535 3.978 3.2
mouldy 5.395 3.988 3.305
moulted 5.799 3.814 3.206
moulting 5.633 4.03 3.316
mound 5.569 4.026 3.51
mounded 5.573 3.833 3.649
mounding 5.677 3.753 3.561
mounds 5.572 4.032 3.345
mount 5.594 3.991 3.27
mountable 5.639 3.88 3.434
mountain 5.701 4.021 3.414
mountaineer 5.731 4.05 3.442
mountaineering 5.779 3.975 3.388
mountainous 5.498 3.885 3.21
mountainously 5.857 3.943 3.091
mountains 5.659 4.008 3.19
mountainside 5.721 3.975 3.349
mountainsides 5.766 4.326 3.578
mountaintop 5.493 4.033 3.198
mountaintops 5.681 4.01 3.231
mountebank 5.074 4.501 2.934
mounted 5.435 3.999 3.402
mountie 5.501 4.195 3.334
mounties 5.435 4.143 3.119
mounting 5.286 4.098 3.166
mountings 5.593 4.096 3.339
mounts 5.466 4.079 3.205
mourn 5.421 4.21 3.043
mourned 5.352 4.239 3.113
mourner 5.478 4.057 3.226
mourners 4.77 4.708 3.472
mournful 5.603 4.088 3.138
mournfully 5.554 4.033 3.196
mournfulness 5.889 4.095 3.085
mourning 5.447 4.137 3.131
mourns 5.15 4.354 3.322
mouse 5.647 3.992 3.454
moused 5.558 3.905 3.133
mousepad 5.61 3.895 3.43
mouser 5.759 3.822 3.149
mouses 5.528 4.073 3.094
mousetrap 5.745 4.078 3.214
mousetraps 5.473 3.998 3
mousey 5.568 4.086 3.096
mousiness 5.531 3.909 3.03
moussaka 6.046 3.818 3.484
mousse 6.366 4.208 3.989
mousses 6.158 3.987 3.306
moustache 5.578 4.008 3.342
moustaches 5.643 4.033 3.218
mousy 5.229 4.122 3.211
mouth 5.514 4.156 3.221
mouthed 5.109 4.167 2.991
mouthful 5.669 4.124 3.218
mouthfuls 5.776 4.039 3.338
mouthier 5.496 4.135 2.943
mouthing 5.399 4.207 2.89
mouthpiece 5.519 4.09 3.022
mouthpieces 5.519 4.107 2.976
mouths 5.47 4.279 3.409
mouthwash 5.464 4.064 3.464
mouthwatering 5.927 4.117 3.333
mouthy 5.258 4.21 3.228
movable 5.652 3.886 3.185
move 5.588 4.02 3.021
moveable 5.673 3.883 3.187
moved 5.665 4.01 3.141
movement 5.693 4.235 2.82
movements 5.524 4.132 2.872
mover 5.733 4.065 3.059
movers 5.675 3.971 3.226
moves 5.53 4.033 3.122
movie 5.92 4.263 3.344
moviegoer 5.725 4.093 2.948
moviegoers 5.791 4.172 2.961
moviemaker 5.893 3.996 3.044
moviemakers 5.819 4.14 2.91
movies 6.138 4.621 3.329
moving 5.603 3.991 3.141
movingly 5.672 4.221 3.022
mow 5.693 3.886 3.374
mowed 5.645 3.942 3.326
mower 5.548 3.528 4.139
mowers 5.569 3.401 4.162
mowing 5.734 3.864 3.365
mown 5.693 3.931 3.328
mows 5.736 3.947 3.491
moxie 5.83 4.132 3.141
mozambique 5.668 4.126 3.376
mozart 5.991 4.082 2.983
mozzarella 6.035 3.816 3.844
mp 5.887 4.064 2.918
mt 5.752 3.948 3.239
mu 5.583 3.958 3.05
much 5.679 4.094 2.85
muchness 5.746 3.984 2.652
mucilage 5.544 3.81 3.496
mucilaginous 5.587 3.882 3.327
muck 5.556 4.045 3.081
mucked 5.614 3.97 3.014
mucker 5.424 4.13 3.059
muckheap 5.372 4.336 2.845
muckiness 5.351 3.937 2.97
mucking 5.598 3.995 2.86
muckle 5.615 4.127 3.144
muckrake 5.399 4.056 2.923
muckraker 5.544 3.94 3.15
muckrakers 5.544 4.159 2.89
muckraking 5.514 4.105 2.985
mucks 5.63 3.921 3.205
mucky 5.512 4.001 3.24
mucosa 5.325 4.066 3.081
mucosal 5.157 3.974 3.219
mucous 5.113 4.025 3.365
mucus 4.967 4.002 3.565
mud 5.515 4.017 3.335
muddied 5.618 4.011 2.819
muddier 5.753 3.83 2.961
muddies 5.678 3.984 2.783
muddiness 5.675 4.01 2.958
muddle 5.571 4.023 2.72
muddled 5.682 3.951 2.748
muddleheaded 5.408 4.138 2.671
muddles 5.574 4.035 2.796
muddling 5.534 4.046 2.764
muddy 5.69 3.981 3.218
muddying 5.659 4.013 2.805
mudflat 5.348 4.136 3.162
mudflats 5.68 3.849 3.31
mudflow 5.27 3.978 3.323
mudguard 5.454 3.838 3.413
mudguards 5.668 3.892 3.22
mudpack 6.037 3.854 3.161
mudroom 5.719 3.713 3.696
muds 5.447 3.956 3.195
mudskipper 5.507 3.973 3.592
mudslide 5.267 4.27 3.395
mudslinger 5.44 4.077 3.003
mudslingers 5.554 4.048 2.802
mudslinging 5.433 4.115 2.78
muesli 6.011 3.92 3.479
muezzin 5.766 3.923 3.256
muff 5.709 4.118 3.753
muffed 5.574 4.049 3.134
muffin 6.146 3.996 3.843
muffing 5.597 4.107 3.097
muffins 6.259 3.98 3.849
muffle 5.394 4.031 3.253
muffled 5.588 4.112 3.275
muffler 5.46 3.96 3.425
mufflers 5.516 4.007 3.373
muffles 5.581 3.859 2.938
muffling 5.384 4.073 3.099
muffs 5.651 3.951 3.789
mufti 5.57 4.101 2.867
muftis 5.407 4.087 2.802
mug 5.322 4.244 3.47
mugged 5.419 4.171 3.035
mugger 5.197 4.397 3.159
muggers 5.069 4.408 3.07
mugginess 5.609 4.032 3.26
mugging 4.891 4.487 3.1
muggings 4.925 4.484 3.043
muggins 5.47 4.053 3.258
muggy 5.8 4.001 3.307
mugs 5.71 4.042 3.277
mugshot 5.325 4.274 3.389
muhammad 5.552 4.162 2.929
mujahedin 5.332 4.248 2.996
mukluk 5.972 3.983 3.349
mukluks 5.629 3.916 3.206
mulatto 5.784 4.221 3.067
mulattos 5.587 3.998 3.019
mulberries 5.958 3.885 3.303
mulberry 5.742 3.862 3.537
mulch 5.68 3.802 3.481
mulched 5.745 3.761 3.41
mulches 5.681 3.8 3.32
mulching 5.651 3.697 3.503
mulct 5.389 4.245 3.006
mulcted 5.423 4.008 3.225
mulcts 4.707 4.251 2.786
mule 5.821 4.276 3.226
mules 5.602 4.071 3.19
muleteer 5.29 4.352 3.079
mulish 5.397 4.125 2.911
mulishness 5.437 4.109 2.648
mull 5.856 4.035 3.025
mullah 5.442 4.202 3.064
mullahs 5.289 4.303 2.812
mulled 5.76 4.005 3.172
mullein 5.507 3.88 3.593
mullet 5.338 4.098 3.911
mullets 5.356 4.092 3.821
mulligatawny 6.011 3.687 3.806
mulling 5.698 4.038 2.979
mullion 5.469 3.534 3.846
mullioned 5.881 3.727 3.61
mullions 5.706 3.889 3.305
mulls 5.577 3.94 3.159
multi 5.658 3.898 3.151
multichannel 5.772 3.959 3.08
multicolor 5.848 3.901 3.475
multicolored 5.79 4.057 3.525
multicourse 6.135 3.923 3.446
multicultural 5.598 4.129 2.865
multidigit 5.646 3.747 2.922
multidimensional 5.762 3.94 2.742
multidimensionality 5.703 3.922 2.8
multidirectional 5.763 3.951 3.164
multidisciplinary 5.702 3.931 3.025
multifaceted 5.633 4.126 2.812
multifactor 5.555 3.944 2.881
multifarious 5.606 4.079 2.787
multifariously 5.758 4.115 2.608
multifocal 5.51 3.907 3.016
multifold 5.389 4.117 2.771
multiform 5.62 3.988 2.848
multifunctional 5.701 3.98 3.113
multihued 5.641 3.989 3.421
multilateral 5.554 4.093 2.781
multilaterally 5.521 4.119 2.717
multilayered 5.643 4.1 2.957
multilevel 5.72 3.924 3.075
multileveled 5.979 4.06 2.932
multilingual 5.837 3.967 3.016
multimedia 5.813 4.029 3.305
multimillion 5.742 4.343 3.417
multimillionaire 5.675 4.174 3.123
multimillionaires 5.641 4.238 3.062
multinational 5.414 4.157 2.992
multinationals 5.496 4.143 2.968
multiphase 5.631 4.1 3.099
multiple 5.555 4.024 2.945
multiples 5.585 4.419 3.176
multiplex 5.751 3.901 3.083
multiplexed 5.666 3.75 3.153
multiplexes 5.719 3.912 3.056
multipliable 5.55 3.954 2.874
multiplication 5.583 3.879 2.842
multiplicative 5.689 3.901 2.728
multiplicatively 5.557 3.861 2.689
multiplicities 5.615 3.871 2.712
multiplicity 5.609 4.002 2.698
multiplied 5.607 4.027 2.894
multiplier 5.566 4.026 2.949
multiplies 5.517 4.05 2.905
multiply 5.616 4.018 2.917
multiplying 5.571 4.022 2.883
multipoint 5.596 3.911 3.211
multiprocessing 5.686 3.874 2.859
multiprocessor 5.656 3.866 2.922
multipurpose 5.691 3.923 3.411
multiracial 5.686 4.147 2.876
multisensory 5.91 4.015 2.868
multispecies 5.607 3.971 3.016
multispeed 5.814 4.047 3.057
multistage 5.597 4.145 3.116
multistory 5.564 3.889 3.53
multisyllabic 5.785 3.837 2.912
multisystem 5.348 4.098 3.115
multitask 5.999 4.166 2.716
multitasking 5.768 3.999 2.822
multithreaded 5.719 3.885 2.889
multitude 5.644 4.052 2.871
multitudes 5.549 4.146 2.902
multitudinous 5.558 4.061 2.859
multivalve 5.279 4.052 2.762
multivitamin 5.562 3.893 3.111
multivitamins 5.504 3.985 3.142
multivolume 5.795 3.881 3.096
mum 5.766 4.134 3.089
mumble 4.488 4.438 2.969
mumbled 5.685 4.049 3.017
mumbles 5.54 4.072 3.185
mumbling 5.515 4.052 3.023
mumbo 5.418 4.156 2.859
mummed 6.048 3.966 2.768
mummer 5.907 4.07 3.206
mummers 6.055 4.092 3.294
mummery 5.488 4.041 2.871
mummies 5.572 4.136 3.319
mummification 5.659 4.062 3.374
mummified 5.579 4.041 3.387
mummify 5.548 4.068 3.143
mumming 5.857 3.865 3.189
mummy 5.788 4.207 3.22
mumps 5.042 4.186 3.19
mums 5.765 4.262 3.288
munch 5.781 4.071 3.253
munched 5.816 3.875 3.449
munches 5.812 3.87 3.259
munching 5.598 4.118 3.533
munchkin 5.737 4.122 3.193
munchkins 5.697 4.126 3.08
mundane 5.697 4.022 2.751
mundanely 5.957 4.03 2.77
munich 5.576 4.272 3.053
municipal 5.372 4.028 3.152
municipalities 5.519 3.93 2.962
municipality 5.511 3.993 3.136
municipalize 5.469 4.228 2.881
municipally 5.662 4.099 3.093
municipals 5.454 3.864 3.037
munificence 5.775 4.179 2.703
munificent 5.936 4.069 2.898
munition 5.294 4.251 3.163
munitions 5.205 4.2 3.135
muppet 5.647 4.227 3.149
mural 5.79 3.946 3.611
muralist 6.004 4.129 3.299
murals 5.849 3.811 3.862
murder 5.024 4.482 3.065
murdered 4.984 4.506 3.086
murderer 5.038 4.546 3.128
murderers 5.419 4.105 2.884
murderess 5.211 4.446 3.075
murderesses 4.928 4.56 2.991
murdering 5.091 4.605 2.975
murderous 4.666 4.583 2.666
murderously 5.158 4.383 2.798
murderousness 5.305 4.363 2.694
murders 5.289 4.182 3.018
murk 5.529 4.049 3.041
murkier 5.603 3.952 2.794
murkiest 5.389 4.13 2.998
murkily 5.443 3.981 2.897
murkiness 5.579 4.007 2.884
murky 5.529 4.016 2.981
murmur 5.516 4.11 2.91
murmured 5.831 4.083 3.133
murmuring 5.568 4.082 2.996
murmurs 5.519 4.086 2.939
murphy 5.65 4.058 3.185
murrain 4.909 4.113 3.218
murray 5.584 4.028 3.163
mus 5.497 3.882 3.224
muscatel 5.827 4.053 3.231
muscatels 6.244 4.058 3.344
muscle 5.496 4.237 3.384
muscled 5.649 4.276 3.403
muscleman 5.558 4.214 3.325
musclemen 5.917 4.56 3.418
muscles 5.51 4.145 3.289
muscling 5.554 4.131 3.025
muscovite 5.513 4.029 2.97
muscular 5.637 4.266 3.299
muscularity 5.709 4.136 2.937
muscularly 5.788 4.061 2.941
musculature 5.584 4.044 3.128
muse 5.799 4.082 3.093
mused 5.728 4.06 2.962
muses 5.84 4.108 2.957
musette 5.92 3.944 3.099
museum 5.723 3.939 3.302
museums 5.879 4.02 3.125
mush 5.553 4.016 3.179
musher 5.69 4.306 3.35
mushers 5.501 4.337 3.307
mushier 5.672 3.741 3.094
mushily 5.499 4.07 2.69
mushiness 5.556 4.266 2.819
mushroom 5.745 3.963 3.508
mushroomed 5.353 4.141 3.06
mushrooming 5.273 4.21 3.025
mushrooms 5.787 3.989 3.431
mushy 5.563 4.042 2.943
music 6.187 4.24 3.358
musical 5.992 4.162 3.116
musicale 6.186 4.236 3.319
musicales 6.191 4.388 3.359
musicality 5.976 4.12 2.741
musically 5.973 4.104 2.801
musicals 6.349 4.354 3.276
musician 5.983 4.122 3.039
musicians 5.994 4.138 3.008
musicianship 6.036 4.129 2.76
musicological 5.808 4.021 2.73
musicologist 5.958 4.032 3.046
musicologists 5.903 4.012 2.801
musicology 5.978 4.006 2.993
musing 5.721 4.023 2.84
musings 5.661 4.05 2.834
musk 5.741 4.136 3.381
muskellunge 5.946 3.974 3.655
musket 5.277 4.229 3.316
musketeer 5.754 4.069 3.248
musketeers 5.596 3.986 3.215
musketry 5.286 4.246 3.354
muskets 5.238 4.273 3.137
muskiness 5.967 4.209 3.173
muskrat 5.65 4.056 3.453
muskrats 5.604 4.136 3.516
musky 5.806 4.286 3.439
muslim 5.365 4.267 3.001
muslims 5.345 4.252 2.799
muslin 5.618 3.897 3.226
muslins 5.476 4.18 2.936
muss 5.349 3.913 3.169
mussed 5.602 3.97 3.379
mussel 5.679 4.02 3.577
mussels 5.853 3.924 3.551
musses 5.458 3.968 3.5
mussing 5.796 3.919 3.27
mussolini 5.334 4.231 2.774
must 5.566 4.099 2.9
mustache 5.622 4 3.384
mustached 5.441 4.163 3.411
mustaches 5.646 4.085 3.25
mustachio 5.521 4.143 3.504
mustachioed 5.381 4.118 3.432
mustang 5.653 4.158 3.886
mustangs 5.816 4.642 3.567
mustard 5.58 4.017 3.58
mustards 5.66 4.041 3.294
muster 5.606 4.098 2.764
mustered 5.592 4.122 2.972
mustering 5.579 4.171 2.925
musters 5.598 4.148 2.986
mustiness 5.669 3.97 3.086
musts 5.577 3.94 2.867
musty 5.489 3.982 3.272
mutable 5.639 3.89 2.721
mutagen 5.336 4.192 3.002
mutagenesis 5.479 4.064 2.838
mutant 5.552 4.21 3.096
mutants 5.558 4.23 2.922
mutate 5.952 3.431 3.544
mutated 4.538 3.975 3.169
mutates 5.333 4.029 2.966
mutating 5.367 4.123 2.836
mutation 5.505 4.049 2.761
mutational 5.561 3.829 2.841
mutations 5.541 4.014 2.68
mutative 5.506 3.932 2.737
mute 5.484 4.027 3.071
muted 5.539 4.066 2.972
mutedly 5.9 4.021 2.678
mutely 5.561 3.995 3.106
muteness 6.752 4.817 2.315
muter 5.537 4.327 3.412
mutes 5.422 3.979 3.139
mutilate 5.037 4.423 3.072
mutilated 5.243 4.452 3.113
mutilates 5.123 4.371 3.107
mutilating 5.056 4.459 3.104
mutilation 4.964 4.63 3.052
mutilations 5.113 4.338 3.014
mutilator 5.572 4.411 2.899
mutineer 5.724 4.101 3.123
mutineers 5.338 4.224 3.005
muting 5.644 3.926 3.065
mutinied 5.257 4.238 3.189
mutinies 5.295 4.235 2.955
mutinous 5.304 4.235 3.091
mutinously 5.096 4.156 2.927
mutiny 5.366 4.207 3.028
mutinying 5.56 4.155 3.168
mutism 5.258 4.095 2.78
mutt 5.631 4.062 3.057
mutter 5.506 4.078 2.907
muttered 5.579 4.071 3.117
mutterer 5.741 4.204 2.992
mutterers 5.996 3.85 3.187
muttering 5.512 4.043 3.089
mutters 5.466 4.099 2.949
mutton 5.678 4.034 3.389
muttonhead 5.423 3.973 2.87
muttons 6.002 3.735 3.043
mutts 5.782 4.221 3.093
mutual 5.673 4.118 2.956
mutualism 5.689 4.1 2.754
mutuality 5.799 4.089 2.655
mutually 5.602 4.086 2.656
muumuu 5.815 4.043 3.454
muumuus 5.843 4.044 3.501
muzak 5.792 4.089 3.07
muzzle 5.456 4.213 3.155
muzzled 5.377 4.173 3.065
muzzleloader 5.435 4.123 3.579
muzzles 5.485 4.207 3.208
muzzling 5.481 4.144 2.939
muzzy 5.548 4.341 3.214
mycenae 5.597 4.038 3.09
mycological 5.667 4.03 3.087
mycologist 5.842 3.955 3.1
myelin 5.13 4.144 3.09
myeloid 4.579 4.425 3.102
myeloma 5.024 4.17 3.342
mylar 5.723 3.866 3.626
mynah 5.97 4.029 3.546
myocardial 5.006 4.272 2.81
myocardium 5.063 4.137 3.22
myopia 5.568 3.963 2.83
myopic 5.576 4.008 2.809
myosin 5.577 3.966 3.203
myriad 5.581 4.06 2.876
myriads 5.65 4.015 2.922
myrmidon 5.658 4.07 2.994
myrmidons 5.526 4.151 2.863
myrrh 5.856 4.158 3.443
myrtle 6.282 4.284 4.033
myrtles 5.93 4.075 3.467
myspace 6.015 4.284 3.483
mysteries 5.815 4.074 2.864
mysterious 5.316 4.227 3.187
mysteriously 5.415 4.248 3.174
mysteriousness 5.756 4.089 2.67
mystery 5.611 4.063 2.861
mystic 5.843 4.057 2.994
mystical 5.813 4.073 2.722
mystically 5.829 4.02 2.78
mysticism 5.767 4.049 2.647
mystics 5.822 4.051 2.686
mystification 5.484 4.103 2.669
mystified 5.638 4.039 2.86
mystifies 5.581 4.024 2.797
mystify 5.717 4.035 2.778
mystifying 5.556 4.051 2.802
mystifyingly 5.41 4.113 2.84
mystique 5.747 4.183 2.956
myth 5.682 4.17 2.84
mythic 5.757 4.111 2.807
mythical 5.655 4.132 2.866
mythically 5.68 4.166 2.684
mythmaker 5.61 4.159 2.951
mythmaking 5.641 4.08 2.833
mythological 5.776 4.062 2.788
mythologies 5.745 4.013 2.661
mythologist 5.879 3.934 2.859
mythologize 5.622 4.104 2.702
mythology 5.854 4.161 2.787
mythos 5.812 3.984 2.711
myths 5.658 4.094 2.823
nab 5.396 4.225 2.999
nabbed 5.291 4.263 3.242
nabbing 5.412 4.217 3.124
nabisco 5.893 4.119 3.462
nabob 5.613 4.152 2.842
nabobs 5.4 4.154 2.792
nabs 5.276 4.245 3.382
nacelle 5.432 4.006 3.323
nacelles 5.514 3.949 3.248
nacho 5.949 4.126 3.583
nachos 5.974 4.065 3.528
nacre 5.679 3.825 3.282
nada 5.509 4.087 2.975
nadine 5.838 4.126 3.264
nadir 5.486 4.069 3.036
nag 5.372 4.058 2.997
nagasaki 4.928 4.614 3.183
nagged 5.633 4.062 2.925
nagger 5.568 4.276 3.454
nagging 5.517 4.111 2.863
naggy 5.579 4.026 2.905
nags 5.393 4.117 3.882
naiad 5.607 4.036 3.376
naiads 5.712 3.975 3.367
nail 5.407 4.121 3.31
nailbrush 5.265 3.991 3.533
nailed 5.531 4.027 3.113
nailfile 5.354 3.926 3.419
nailing 5.494 4.022 3.151
nails 5.462 4.05 3.375
naira 5.779 4.271 3.221
nairobi 5.486 4.123 3.291
naive 5.613 4.178 2.688
naively 5.64 4.052 2.702
naivete 5.53 4.139 2.661
naivety 5.515 4.158 2.684
naked 5.881 4.769 3.662
nakedly 4.602 4.321 3.309
nakedness 5.631 4.266 3.105
